Country Name,Country Code,Indicator Name,2017,2018,2019,2020,2021
Aruba,ABW,GDP (current US$),3092178771,3202234637,3310055866,2496648045,
Africa Eastern and Southern,AFE,GDP (current US$),1.02E+12,9.91E+11,9.98E+11,9.22E+11,1.08E+12
Afghanistan,AFG,GDP (current US$),18753469630,18053228579,18799450743,20116137326,
Africa Western and Central,AFW,GDP (current US$),6.84E+11,7.42E+11,7.95E+11,7.84E+11,8.36E+11
Angola,AGO,GDP (current US$),68972763787,77792940077,69309104807,53619071176,72546985709
Albania,ALB,GDP (current US$),13019689337,15156432310,15401830754,15131866271,18260043500
Andorra,AND,GDP (current US$),3000162081,3218419897,3155149348,2891001149,3329910724
Arab World,ARB,GDP (current US$),2.58E+12,2.79E+12,2.81E+12,2.50E+12,2.85E+12
United Arab Emirates,ARE,GDP (current US$),3.86E+11,4.22E+11,4.17E+11,3.59E+11,
Argentina,ARG,GDP (current US$),6.44E+11,5.25E+11,4.53E+11,3.90E+11,4.91E+11
Armenia,ARM,GDP (current US$),11527458566,12457941907,13619291361,12641209802,13861183874
American Samoa,ASM,GDP (current US$),612000000,639000000,648000000,709000000,
Antigua and Barbuda,ATG,GDP (current US$),1467977778,1605944444,1687533333,1370281481,1471125926
Australia,AUS,GDP (current US$),1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.54E+12
Austria,AUT,GDP (current US$),4.17E+11,4.55E+11,4.45E+11,4.33E+11,4.77E+11
Azerbaijan,AZE,GDP (current US$),40865558912,47112941176,48174235294,42693000000,54622176471
Burundi,BDI,GDP (current US$),2712324087,2660123624,2581268126,2780510625,2902029386
Belgium,BEL,GDP (current US$),5.03E+11,5.43E+11,5.35E+11,5.22E+11,6.00E+11
Benin,BEN,GDP (current US$),12701654743,14262407011,14391686633,15651545332,17785640079
Burkina Faso,BFA,GDP (current US$),14106956830,15890065020,16178162030,17933606353,19737615114
Bangladesh,BGD,GDP (current US$),2.94E+11,3.21E+11,3.51E+11,3.74E+11,4.16E+11
Bulgaria,BGR,GDP (current US$),59199447421,66363422450,68915416142,69889347433,80271119426
Bahrain,BHR,GDP (current US$),35473776596,37802005319,38653318085,34723357447,38868663032
"Bahamas, The",BHS,GDP (current US$),12357600000,12755800000,13192800000,9699500000,11208600000
Bosnia and Herzegovina,BIH,GDP (current US$),18079076427,20177422311,20201323283,19955120005,22571512867
Belarus,BLR,GDP (current US$),54726595249,60031262269,64409647194,61489588895,68218816484
Belize,BLZ,GDP (current US$),1844906693,1887465218,1945250236,1585631670,1789923264
Bermuda,BMU,GDP (current US$),7142316000,7225977000,7423465000,6881662000,7080900000
Bolivia,BOL,GDP (current US$),37508642171,40287647931,40895322851,36629843806,40408208524
Brazil,BRA,GDP (current US$),2.06E+12,1.92E+12,1.87E+12,1.45E+12,1.61E+12
Barbados,BRB,GDP (current US$),4981588900,5097283213,5304164323,4689534962,4900800000
Brunei Darussalam,BRN,GDP (current US$),12128104859,13567351175,13469422959,12005825770,14006569576
Bhutan,BTN,GDP (current US$),2450364928,2446866405,2535657069,2315436303,
Botswana,BWA,GDP (current US$),16088437675,16914245098,16695925027,14930072799,17613846473
Central African Republic,CAF,GDP (current US$),2072349974,2220978978,2221301401,2326720921,2516498299
Canada,CAN,GDP (current US$),1.65E+12,1.73E+12,1.74E+12,1.65E+12,1.99E+12
Central Europe and the Baltics,CEB,GDP (current US$),1.46E+12,1.65E+12,1.67E+12,1.65E+12,1.89E+12
Switzerland,CHE,GDP (current US$),7.04E+11,7.36E+11,7.32E+11,7.52E+11,8.13E+11
Channel Islands,CHI,GDP (current US$),,,,,
Chile,CHL,GDP (current US$),2.76E+11,2.95E+11,2.79E+11,2.53E+11,3.17E+11
China,CHN,GDP (current US$),1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.77E+13
Cote d'Ivoire,CIV,GDP (current US$),51588158718,58011466451,58539424930,61348579465,69764827467
Cameroon,CMR,GDP (current US$),36098550142,39973839065,39670977333,40804449726,45238613480
"Congo, Dem. Rep.",COD,GDP (current US$),38019265626,47568210068,51775830726,48716960860,53958573693
"Congo, Rep.",COG,GDP (current US$),11094823677,13670038020,12750338736,10483151094,12523961677
Colombia,COL,GDP (current US$),3.12E+11,3.34E+11,3.23E+11,2.70E+11,3.14E+11
Comoros,COM,GDP (current US$),1077439663,1188797575,1195019559,1223876065,1327964249
Cabo Verde,CPV,GDP (current US$),1769787215,1966501118,1981845741,1703698677,1936174043
Costa Rica,CRI,GDP (current US$),60516043590,62420165100,64417670083,62158002233,64282438667
Caribbean small states,CSS,GDP (current US$),72533236071,75431169088,77023818121,65922853041,69970323144
Cuba,CUB,GDP (current US$),96851000000,1.00E+11,1.03E+11,1.07E+11,
Curacao,CUW,GDP (current US$),3009497207,3020388817,2995185487,2496174736,
Cayman Islands,CYM,GDP (current US$),5166467287,5530377593,5943589096,5608989196,
Cyprus,CYP,GDP (current US$),22870833710,25522671233,25758357775,24692095945,27719337670
Czechia,CZE,GDP (current US$),2.19E+11,2.49E+11,2.52E+11,2.45E+11,2.82E+11
Germany,DEU,GDP (current US$),3.69E+12,3.98E+12,3.89E+12,3.85E+12,4.22E+12
Djibouti,DJI,GDP (current US$),2762581334,2913466732,3088853639,3181071154,3371102124
Dominica,DMA,GDP (current US$),521551851.9,554770370.4,611537037,504214814.8,545618518.5
Denmark,DNK,GDP (current US$),3.32E+11,3.57E+11,3.48E+11,3.56E+11,3.97E+11
Dominican Republic,DOM,GDP (current US$),79997975622,85555378043,88941299734,78844702329,94243453937
Algeria,DZA,GDP (current US$),1.70E+11,1.75E+11,1.72E+11,1.45E+11,1.68E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),1.49E+13,1.66E+13,1.72E+13,1.75E+13,2.07E+13
Early-demographic dividend,EAR,GDP (current US$),1.13E+13,1.14E+13,1.16E+13,1.08E+13,1.26E+13
East Asia & Pacific,EAS,GDP (current US$),2.43E+13,2.65E+13,2.70E+13,2.71E+13,3.09E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),3.12E+12,3.18E+12,3.25E+12,2.98E+12,3.50E+12
Europe & Central Asia,ECS,GDP (current US$),2.17E+13,2.32E+13,2.29E+13,2.21E+13,2.50E+13
Ecuador,ECU,GDP (current US$),1.04E+11,1.08E+11,1.08E+11,99291124000,1.06E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),2.36E+11,2.50E+11,3.03E+11,3.65E+11,4.04E+11
