,location,iso_code,total_cases,total_deaths,total_tests,population
220,United States,USA,98972375.0,1081431.0,912769124.0,338289856.0
93,India,IND,44674842.0,530630.0,858526354.0,1417173120.0
71,France,FRA,38014872.0,159162.0,278234000.0,67813000.0
76,Germany,DEU,36557861.0,158198.0,131286804.0,83369840.0
27,Brazil,BRA,35337546.0,690074.0,70923215.0,215313504.0
193,South Korea,KOR,27331250.0,30769.0,100269452.0,51815808.0
102,Japan,JPN,25242594.0,50352.0,53504941.0,123951696.0
100,Italy,ITA,24488080.0,181733.0,224876148.0,59037472.0
219,United Kingdom,GBR,24024746.0,212296.0,503270347.0,67508936.0
170,Russia,RUS,21311047.0,384327.0,295244836.0,144713312.0
