,location,iso_code,total_cases_per_mil,total_deaths_per_mil,total_tests_per_thousand,population
29,France,FRA,560583.841,2347.072,4126.754,67813000.0
63,Portugal,PRT,540002.65,2484.408,4161.808,10270857.0
71,South Korea,KOR,527469.339,593.815,1934.578,51815808.0
32,Greece,GRC,520433.758,3303.716,8088.12,10384972.0
55,Netherlands,NLD,487108.988,1310.065,1753.393,17564020.0
30,Germany,DEU,438502.233,1897.545,1574.021,83369840.0
22,Czechia,CZE,434650.976,3993.143,5193.488,10493990.0
41,Italy,ITA,414788.763,3078.265,3795.998,59037472.0
4,Australia,AUS,410828.611,620.535,2830.525,26177410.0
7,Belgium,BEL,398030.34,2836.412,2955.332,11655923.0
