,location,iso_code,total_cases,total_deaths,total_tests,population
220,United States,USA,98972375.0,1081431.0,912769124.0,338289856.0
27,Brazil,BRA,35337546.0,690074.0,70923215.0,215313504.0
93,India,IND,44674842.0,530630.0,858526354.0,1417173120.0
170,Russia,RUS,21311047.0,384327.0,295244836.0,144713312.0
130,Mexico,MEX,7132792.0,330525.0,15569464.0,127504120.0
162,Peru,PER,4300576.0,217496.0,28971116.0,34049588.0
219,United Kingdom,GBR,24024746.0,212296.0,503270347.0,67508936.0
100,Italy,ITA,24488080.0,181733.0,224876148.0,59037472.0
94,Indonesia,IDN,6680203.0,159978.0,59503735.0,275501344.0
71,France,FRA,38014872.0,159162.0,278234000.0,67813000.0
