,location,iso_code,total_cases_per_mil,total_deaths_per_mil,total_tests_per_thousand,population
60,Peru,PER,126303.32,6387.625,859.283,34049588.0
22,Czechia,CZE,434650.976,3993.143,5193.488,10493990.0
64,Romania,ROU,167698.699,3422.101,1099.946,19659270.0
32,Greece,GRC,520433.758,3303.716,8088.12,10384972.0
10,Brazil,BRA,164121.364,3204.973,330.912,215313504.0
86,United States,USA,292566.783,3196.759,2708.533,338289856.0
17,Chile,CHL,251842.149,3191.79,2040.365,19603736.0
85,United Kingdom,GBR,355875.05,3144.71,7480.121,67508936.0
41,Italy,ITA,414788.763,3078.265,3795.998,59037472.0
84,Ukraine,UKR,142256.673,2984.504,443.101,39701744.0
