,location,iso_code,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
13,Ecuador,ECU,75565.6,70.37,376.58,4197.8552082823
5,Bolivia,BOL,58269.5,56.24,245.44,4766.7667366322
27,Peru,PER,188586.5,76.55,210.79,5538.58390298291
10,Cuba,CUB,53645.6,25.52,194.86,4784.57479969583
3,Azerbaijan,AZE,40175.1,32.42,192.4,3878.62497270247
33,South Africa,ZAF,285155.7,25.24,170.7,4761.01533171567
25,Mexico,MEX,679123.9,50.25,167.99,5326.28984851627
19,Iran,IRN,261045.6,34.25,158.99,2947.9833489041
35,Spain,ESP,131543.1,26.22,156.63,2765.91429290901
23,Kazakhstan,KAZ,84799.0,30.47,142.05,4371.53359846722
