,location,iso_code,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
27,Peru,PER,188586.5,76.55,210.79,5538.58390298291
13,Ecuador,ECU,75565.6,70.37,376.58,4197.8552082823
5,Bolivia,BOL,58269.5,56.24,245.44,4766.7667366322
25,Mexico,MEX,679123.9,50.25,167.99,5326.28984851627
9,Colombia,COL,188508.1,38.37,113.46,3633.95917510011
19,Iran,IRN,261045.6,34.25,158.99,2947.9833489041
3,Azerbaijan,AZE,40175.1,32.42,192.4,3878.62497270247
32,Russia,RUS,1240683.3,30.85,87.85,8573.38749872575
23,Kazakhstan,KAZ,84799.0,30.47,142.05,4371.53359846722
22,Jordan,JOR,15042.4,28.37,121.93,1332.85190558995
