,location,iso_code,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
32,Russia,RUS,1240683.3,30.85,87.85,8573.38749872575
42,United States,USA,1187576.2,17.51,46.02,3510.52855690713
6,Brazil,BRA,818646.8,27.07,83.18,3802.11544929388
25,Mexico,MEX,679123.9,50.25,167.99,5326.28984851627
14,Egypt,EGY,318751.6,25.35,83.21,2871.89228127166
33,South Africa,ZAF,285155.7,25.24,170.7,4761.01533171567
19,Iran,IRN,261045.6,34.25,158.99,2947.9833489041
28,Philippines,PHL,244060.6,19.32,123.25,2111.99978456028
20,Italy,ITA,215481.3,17.32,85.62,3649.90729955375
27,Peru,PER,188586.5,76.55,210.79,5538.58390298291
