,location,iso_code,total_cases_per_mil,total_deaths_per_mil,total_tests_per_thousand,population
32,Greece,GRC,520433.758,3303.716,8088.12,10384972.0
85,United Kingdom,GBR,355875.05,3144.71,7480.121,67508936.0
18,China,CHN,1215.686,3.892,6461.913,1425887360.0
22,Czechia,CZE,434650.976,3993.143,5193.488,10493990.0
63,Portugal,PRT,540002.65,2484.408,4161.808,10270857.0
29,France,FRA,560583.841,2347.072,4126.754,67813000.0
41,Italy,ITA,414788.763,3078.265,3795.998,59037472.0
7,Belgium,BEL,398030.34,2836.412,2955.332,11655923.0
4,Australia,AUS,410828.611,620.535,2830.525,26177410.0
86,United States,USA,292566.783,3196.759,2708.533,338289856.0
