,country,cou_code,region,data_source,date_updated,total_vax,vax_1+,total_vax_rate,vax_1+_rate,full_vax,full_vax_rate,vax_used,vax_date,num_vax_types,boost_add_dose,boost_add_dose_rate
0,Afghanistan,AFG,EMRO,REPORTING,2022-11-02,12140367.0,11165700.0,31.186,28.683,10458947.0,26.867,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-22,11.0,,
1,Albania,ALB,EURO,REPORTING,2022-10-16,2991576.0,1339100.0,104.0,47.053,1265900.0,44.481,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0,363122.0,12.759
2,Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442.0,7840131.0,34.817,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4.0,575651.0,1.313
3,American Samoa,ASM,WPRO,REPORTING,2022-08-23,111316.0,44885.0,201.67,81.318,41423.0,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0,24160.0,43.77
4,Andorra,AND,EURO,REPORTING,2022-10-16,154320.0,57898.0,199.7,76.005,53482.0,70.208,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3.0,42940.0,56.369
5,Angola,AGO,AFRO,REPORTING,2022-10-30,22990789.0,14220830.0,69.953,43.269,7814121.0,23.776,SII - Covishield,2021-03-10,1.0,1127156.0,3.43
6,Anguilla,AIA,AMRO,REPORTING,2022-10-28,24434.0,10852.0,162.872,72.337,10366.0,69.097,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2.0,2998.0,19.984
7,Antigua and Barbuda,ATG,AMRO,REPORTING,2022-10-28,136512.0,64290.0,139.399,65.65,62384.0,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6.0,9838.0,10.046
8,Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736.0,41324100.0,242.617,91.434,37840119.0,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0,30810184.0,68.17
9,Armenia,ARM,EURO,REPORTING,2022-05-22,2150112.0,1129669.0,72.6,38.123,985807.0,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,8.0,40725.0,1.374
10,Aruba,ABW,AMRO,REPORTING,2022-10-28,173723.0,89961.0,162.714,84.26,83762.0,78.454,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0,,
11,Australia,AUS,WPRO,REPORTING,2022-09-28,63461493.0,22443557.0,248.87,88.014,21784904.0,85.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5.0,14265648.0,55.944
12,Austria,AUT,EURO,REPORTING,2022-10-16,19596170.0,6889593.0,220.2,77.507,6671600.0,74.953,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6.0,5359031.0,60.207
13,Azerbaijan,AZE,EURO,REPORTING,2022-10-16,13763859.0,5410598.0,135.7,53.363,4873700.0,48.068,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,5.0,3479563.0,34.318
14,Bahamas,BHS,AMRO,REPORTING,2022-10-28,362968.0,173529.0,92.301,44.128,165317.0,42.039,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4.0,32960.0,8.382
