,iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population,year,month,year_month
236172,OWID_WRL,World,2020-01-22,557.0,0.0,,17.0,0.0,,0.07,0.0,,0.002,0.0,,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236173,OWID_WRL,World,2020-01-23,657.0,100.0,,18.0,1.0,,0.082,0.013,,0.002,0.0,,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236174,OWID_WRL,World,2020-01-24,944.0,287.0,,26.0,8.0,,0.118,0.036,,0.003,0.001,,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236175,OWID_WRL,World,2020-01-25,1437.0,493.0,,42.0,16.0,,0.18,0.062,,0.005,0.002,,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236176,OWID_WRL,World,2020-01-26,2120.0,683.0,,56.0,14.0,,0.266,0.086,,0.007,0.002,,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236177,OWID_WRL,World,2020-01-27,2929.0,809.0,338.857,82.0,26.0,9.286,0.367,0.101,0.042,0.01,0.003,0.001,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236178,OWID_WRL,World,2020-01-28,5580.0,2651.0,717.571,131.0,49.0,16.286,0.7,0.332,0.09,0.016,0.006,0.002,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236179,OWID_WRL,World,2020-01-29,6169.0,589.0,801.714,133.0,2.0,16.571,0.774,0.074,0.101,0.017,0.0,0.002,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236180,OWID_WRL,World,2020-01-30,8237.0,2068.0,1082.857,172.0,39.0,22.0,1.033,0.259,0.136,0.022,0.005,0.003,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236181,OWID_WRL,World,2020-01-31,9927.0,1690.0,1283.286,214.0,42.0,26.857,1.245,0.212,0.161,0.027,0.005,0.003,,,,,,,,,,,,,,7975105024.0,2020,1,2020-01-01
236182,OWID_WRL,World,2020-02-01,12038.0,2111.0,1514.429,260.0,46.0,31.143,1.509,0.265,0.19,0.033,0.006,0.004,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236183,OWID_WRL,World,2020-02-02,16787.0,4749.0,2095.286,364.0,104.0,44.0,2.105,0.595,0.263,0.046,0.013,0.006,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236184,OWID_WRL,World,2020-02-03,19887.0,3100.0,2422.571,428.0,64.0,49.429,2.494,0.389,0.304,0.054,0.008,0.006,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236185,OWID_WRL,World,2020-02-04,23899.0,4012.0,2617.0,494.0,66.0,51.857,2.997,0.503,0.328,0.062,0.008,0.007,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236186,OWID_WRL,World,2020-02-05,27644.0,3745.0,3067.857,566.0,72.0,61.857,3.466,0.47,0.385,0.071,0.009,0.008,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236187,OWID_WRL,World,2020-02-06,30806.0,3162.0,3224.143,636.0,70.0,66.286,3.863,0.396,0.404,0.08,0.009,0.008,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236188,OWID_WRL,World,2020-02-07,34400.0,3594.0,3496.143,721.0,85.0,72.429,4.313,0.451,0.438,0.09,0.011,0.009,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236189,OWID_WRL,World,2020-02-08,37131.0,2731.0,3584.714,808.0,87.0,78.286,4.656,0.342,0.449,0.101,0.011,0.01,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236190,OWID_WRL,World,2020-02-09,40162.0,3031.0,3339.286,908.0,100.0,77.714,5.036,0.38,0.419,0.114,0.013,0.01,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236191,OWID_WRL,World,2020-02-10,42771.0,2609.0,3269.143,1015.0,107.0,83.857,5.363,0.327,0.41,0.127,0.013,0.011,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236192,OWID_WRL,World,2020-02-11,44814.0,2043.0,2987.857,1115.0,100.0,88.714,5.619,0.256,0.375,0.14,0.013,0.011,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236193,OWID_WRL,World,2020-02-12,45232.0,418.0,2512.571,1120.0,5.0,79.143,5.672,0.052,0.315,0.14,0.001,0.01,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236194,OWID_WRL,World,2020-02-13,60384.0,15152.0,4225.429,1373.0,253.0,105.286,7.572,1.9,0.53,0.172,0.032,0.013,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236195,OWID_WRL,World,2020-02-14,66912.0,6528.0,4644.571,1525.0,152.0,114.857,8.39,0.819,0.582,0.191,0.019,0.014,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236196,OWID_WRL,World,2020-02-15,69055.0,2143.0,4560.571,1668.0,143.0,122.857,8.659,0.269,0.572,0.209,0.018,0.015,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236197,OWID_WRL,World,2020-02-16,71238.0,2183.0,4439.429,1772.0,104.0,123.429,8.933,0.274,0.557,0.222,0.013,0.015,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236198,OWID_WRL,World,2020-02-17,73273.0,2035.0,4357.429,1870.0,98.0,122.143,9.188,0.255,0.546,0.234,0.012,0.015,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236199,OWID_WRL,World,2020-02-18,75155.0,1882.0,4334.429,2010.0,140.0,127.857,9.424,0.236,0.543,0.252,0.018,0.016,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236200,OWID_WRL,World,2020-02-19,75655.0,500.0,4346.143,2125.0,115.0,143.571,9.486,0.063,0.545,0.266,0.014,0.018,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236201,OWID_WRL,World,2020-02-20,76216.0,561.0,2261.714,2250.0,125.0,125.286,9.557,0.07,0.284,0.282,0.016,0.016,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236202,OWID_WRL,World,2020-02-21,76846.0,630.0,1419.143,2254.0,4.0,104.143,9.636,0.079,0.178,0.283,0.001,0.013,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236203,OWID_WRL,World,2020-02-22,78608.0,1762.0,1364.714,2462.0,208.0,113.429,9.857,0.221,0.171,0.309,0.026,0.014,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236204,OWID_WRL,World,2020-02-23,78990.0,382.0,1107.429,2473.0,11.0,100.143,9.905,0.048,0.139,0.31,0.001,0.013,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236205,OWID_WRL,World,2020-02-24,79558.0,568.0,897.857,2633.0,160.0,109.0,9.976,0.071,0.113,0.33,0.02,0.014,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236206,OWID_WRL,World,2020-02-25,80412.0,854.0,751.0,2713.0,80.0,100.429,10.083,0.107,0.094,0.34,0.01,0.013,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236207,OWID_WRL,World,2020-02-26,81384.0,973.0,818.571,2774.0,61.0,92.714,10.205,0.122,0.103,0.348,0.008,0.012,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236208,OWID_WRL,World,2020-02-27,82728.0,1344.0,930.429,2817.0,43.0,81.0,10.373,0.169,0.117,0.353,0.005,0.01,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236209,OWID_WRL,World,2020-02-28,84152.0,1424.0,1043.857,2876.0,59.0,88.857,10.552,0.179,0.131,0.361,0.007,0.011,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236210,OWID_WRL,World,2020-02-29,86023.0,1871.0,1059.429,2946.0,70.0,69.143,10.786,0.235,0.133,0.369,0.009,0.009,,,,,,,,,,,,,,7975105024.0,2020,2,2020-02-01
236211,OWID_WRL,World,2020-03-01,88402.0,2379.0,1344.714,3000.0,54.0,75.286,11.085,0.298,0.169,0.376,0.007,0.009,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236212,OWID_WRL,World,2020-03-02,90382.0,1980.0,1546.429,3090.0,90.0,65.286,11.333,0.248,0.194,0.387,0.011,0.008,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236213,OWID_WRL,World,2020-03-03,92994.0,2612.0,1797.571,3164.0,74.0,64.429,11.661,0.328,0.225,0.397,0.009,0.008,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236214,OWID_WRL,World,2020-03-04,95316.0,2322.0,1990.286,3260.0,96.0,69.429,11.952,0.291,0.25,0.409,0.012,0.009,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236215,OWID_WRL,World,2020-03-05,98027.0,2711.0,2185.571,3355.0,95.0,76.857,12.292,0.34,0.274,0.421,0.012,0.01,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236216,OWID_WRL,World,2020-03-06,101957.0,3930.0,2543.571,3469.0,114.0,84.714,12.784,0.493,0.319,0.435,0.014,0.011,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236217,OWID_WRL,World,2020-03-07,106088.0,4131.0,2866.429,3573.0,104.0,89.571,13.302,0.518,0.359,0.448,0.013,0.011,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236218,OWID_WRL,World,2020-03-08,109942.0,3854.0,3077.143,3815.0,242.0,116.429,13.786,0.483,0.386,0.478,0.03,0.015,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236219,OWID_WRL,World,2020-03-09,114265.0,4323.0,3411.857,4009.0,194.0,131.286,14.328,0.542,0.428,0.503,0.024,0.016,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236220,OWID_WRL,World,2020-03-10,119051.0,4786.0,3722.429,4284.0,275.0,160.0,14.928,0.6,0.467,0.537,0.034,0.02,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236221,OWID_WRL,World,2020-03-11,126527.0,7504.0,4462.714,4636.0,352.0,196.571,15.865,0.941,0.56,0.581,0.044,0.025,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
236222,OWID_WRL,World,2020-03-12,133283.0,6756.0,5040.571,4957.0,321.0,228.857,16.712,0.847,0.632,0.622,0.04,0.029,,,,,,,,,,,,,,7975105024.0,2020,3,2020-03-01
